,Name,ra_epoch2000,dec_epoch2000,RA,DEC,Tmag,parallax,parallax_error,distL1350,MG,bp_rp,LS_Period,Log10_LS_Prob,Amplitude,Duration,flares,flarerate,teff_val,BC,L,Lergs,MeanAmp,MeanEnergy,MeanFlareDuration,MinAmp,MinEnergy,MinFlareDuration,MaxAmp,MaxEnergy,MaxFlareDuration
0,70775324,1.2120634062735,-30.4987484597594,00:04:50.90,-30:29:55.5,13.75,4.1231,0.0493,242.59910846520683,7.84026299734213,1.774282,0.25683508,-9970.79838,0.13192,25.439535,1,0.039308894600471274,4177.7001953125,-0.26778,0.07362186306300406,2.650387070268146e+32,0.081,6.6e+33,6.0,0.081,6.6e+33,6.0,0.081,6.6e+33,6.0
1,70788006,1.740636317677,-30.1547640422935,00:06:57.75,-30:09:17.2,13.89,4.2055,0.0459,237.8355370958154,7.982878265585674,1.800989,0.94497688,-3729.7733,0.05208,25.440924000000003,0,0.0,3959.33,-0.39,0.072251802820993,2.601064901555748e+32,,,,,,,,,
2,70788050,1.9069063518682,-29.9963066244979,00:07:37.66,-29:59:46.7,13.75,4.1359,0.0353,241.8174230143606,7.828262056532642,1.793104,0.34298296,-1882.92987,0.02546,25.438146,0,0.0,4024.0,-0.35086,0.08035986107036645,2.8929549985331926e+32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,155896947,4.1571557488312,-52.6933619132631,00:16:37.72,-52:41:36.1,12.88,43.8689,0.0576,22.79526997183723,12.585229299699904,3.339705,0.17864332,-86.07743,0.00272,25.433979,1,0.03931748154702809,3810.18,-0.4906,0.0011432686009670734,4.115766963481465e+30,0.27,2.9e+32,16.0,0.27,2.9e+32,16.0,0.27,2.9e+32,16.0
4,469939293,4.441095483667,-52.3698091322247,00:17:45.86,-52:22:11.3,13.11,12.1575,0.0359,82.25514362624153,9.76614267487486,2.560211,0.19190406,-4257.53316,0.02965,25.438146,0,0.0,3399.5,-0.79472,0.02029695681439651,7.306904453182744e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,425937008,5.3349912386184,-60.9204836356275,00:21:20.40,-60:55:13.7,13.57,21.8495,0.2071,45.775724806897955,11.721732852046227,3.178714,0.46084045,-115.38243,0.00503,50.585991,0,0.0,3820.34,-0.48327,0.002515445168117048,9.055602605221373e+30,,,,,,,,,
6,40047077,6.4623987724056,-9.9610906882353,00:25:50.98,-09:57:39.9,11.34,30.7317,0.0683,32.540007868050225,10.115226731941963,2.703033,0.88881226,-1218.26558,0.00694,18.675105000000002,9,0.4819250012248927,3816.800048828125,-0.48197,0.011033093842292905,3.971913783225446e+31,0.067,8.2e+32,10.2,0.01,1.4e+32,6.0,0.293,3.4e+33,18.0
7,246855533,6.6397482128931,-24.2090981739521,00:26:33.54,-24:12:32.8,13.12,23.8011,0.0714,42.01560931578996,11.396579669402215,2.932869,0.66516118,-1957.68164,0.0177,25.439535,2,0.07861778920094255,3717.24,-0.5611,0.0036459283924672255,1.3125342212882012e+31,0.06,2.5e+32,7.0,0.031,1.3e+32,6.0,0.089,3.6e+32,8.0
8,246891813,8.9037731438841,-24.1176501472209,00:35:36.91,-24:07:03.5,12.8,19.4,0.0655,51.54754455597299,10.623980086547288,2.765039,0.71355017,-4027.15084,0.03499,18.680661,6,0.32118777809843024,4065.55,-0.32705,0.005987257897954099,2.1554128432634757e+31,0.112,9.4e+32,10.0,0.033,1.9e+32,6.0,0.36,3.2e+33,16.0
9,251879914,9.934736992587,-31.6659629009924,00:39:44.34,-31:39:57.5,12.88,13.5681,0.0516,73.7043608283301,9.76980307850312,2.506739,0.88401847,-1581.986,0.0189,25.433979,1,0.03931748154702809,3798.199951171875,-0.4957,0.015358852487739827,5.529186895586338e+31,0.095,1.4e+33,6.0,0.095,1.4e+33,6.0,0.095,1.4e+33,6.0
10,63907355,12.6120402923236,-26.1203237706167,00:50:26.89,-26:07:13.2,13.03,26.8559,0.0652,37.23619859512439,11.650226310503545,3.116542,0.87726882,-233.04856,0.00645,18.677883,0,0.0,3659.0,-0.59795,0.0029859976972888658,1.0749591710239917e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,234523931,15.5599001630693,-63.3801883473272,01:02:14.38,-63:22:48.7,13.21,33.0979,0.0505,30.213536324950496,12.23259420009339,3.120187,0.56783847,-115.61159,0.00379,25.145067,1,0.03976923187359174,3684.5,-0.58746,0.001729602532625657,6.226569117452365e+30,0.213,2.5e+32,6.0,0.213,2.5e+32,6.0,0.213,2.5e+32,6.0
12,268717977,18.3501057214512,-22.9021534812332,01:13:24.03,-22:54:07.8,11.71,44.2622,0.063,22.59273189994815,11.1286802563461,2.902942,0.48481145,-272.48862,0.00241,18.677883,1,0.05353925816967586,3849.199951171875,-0.45788,0.0042430670397131335,1.527504134296728e+31,0.03,1.2e+32,6.0,0.03,1.2e+32,6.0,0.03,1.2e+32,6.0
13,248945338,20.2719731957616,-4.0365820550961,01:21:05.27,-04:02:11.7,10.85,10.9178,0.0791,91.6028357685299,10.43794740788556,2.616023,0.57901253,-9971.52917,0.04294,18.680661,8,0.42825037079790695,3994.39990234375,-0.34687,0.007237174410052498,2.6053827876188995e+31,0.018,2.3e+32,11.5,0.006,7.1e+31,6.0,0.032,4.2e+32,20.0
14,183641863,20.4685140592196,-76.8829151638091,01:21:52.44,-76:52:58.5,13.27,25.9897,0.0493,38.477054142404654,11.67978192780107,2.843084,0.66752839,-241.18399,0.00376,52.326408,0,0.0,3925.89990234375,-0.39992,0.0024213369170225764,8.716812901281275e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,41862291,20.9622269498392,-39.7525277186216,01:23:50.93,-39:45:09.1,12.39,18.3229,0.1581,54.58447821678192,9.966100184201379,2.537133,0.91733032,-133.02186,0.00176,44.093805,0,0.0,3665.0,-0.59353,0.014027230257944685,5.049802892860087e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,344225524,21.6531294192273,0.6252591251945,01:26:36.75,+00:37:30.9,13.6,18.2336,0.0958,54.846771572272246,11.416422655360838,3.11616,0.34940597,-1378.24345,0.03429,18.683439,0,0.0,3692.0,-0.57371,0.0036217206355205617,1.3038194287874024e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,257397333,22.1646285349535,-14.9679732624198,01:28:39.51,-14:58:04.7,10.77,78.2469,0.2683,12.780358127425728,11.628856881676183,2.976173,0.32167214,-1737.56328,0.00463,18.672327,4,0.21422075566692894,4493.8,-0.13541,0.0019889380016814414,7.16017680605319e+30,0.047,2.2e+32,23.0,0.006,3e+31,12.0,0.101,5.1e+32,44.0
18,248986951,22.9831955934252,-0.7066409242242,01:31:55.97,-00:42:23.9,13.74,31.401,0.1219,31.847068143072477,12.792312714271628,3.423073,0.488327,-134.23011,0.00811,18.683439,1,0.05352333689745234,3678.699951171875,-0.58348,0.0010291221234176877,3.704839644303676e+30,0.196,1.6e+32,6.0,0.196,1.6e+32,6.0,0.196,1.6e+32,6.0
19,206617113,23.0957613300045,-56.3112890445373,01:32:22.98,-56:18:40.6,12.79,28.7874,0.0434,34.737575720470204,11.46444446772323,2.95523,0.24511798,-157.4969,0.00334,25.442313000000002,0,0.0,3498.92,-0.75285,0.004086600759182284,1.4711762733056224e+31,,,,,,,,,
20,164695231,24.7914279732272,-17.9822044949122,01:39:09.94,-17:58:55.9,13.38,20.742,0.0717,48.212490245127526,11.14663017998525,2.825964,0.57572104,-734.09633,0.02073,18.68205,2,0.10705463265540988,3930.800048828125,-0.39622,0.003943083077953014,1.4195099080630851e+31,0.441,2e+33,10.0,0.135,6.1e+32,8.0,0.748,3.4e+33,12.0
21,29923559,25.0085575704624,-6.6972228690064,01:40:02.05,-06:41:50.0,13.33,26.9423,0.1319,37.11811093397799,11.95100067301826,3.142351,0.50162256,-826.53882,0.01559,18.676494,-2147483648,,3680.699951171875,-0.58199,0.0022304666406739986,8.029679906426396e+30,,,,,,,,,
22,10863087,25.9381029940545,-6.0445004745934,01:43:45.14,-06:02:40.2,10.36,46.8488,0.0702,21.345359009586673,10.02192868179578,2.764426,0.86236552,-4019.14057,0.01431,18.673716,20,1.0710241068248012,3676.89990234375,-0.58478,0.013217232159255325,4.758203577331917e+31,0.036,7.3e+32,12.7,0.008,9.6e+31,6.0,0.335,4.4e+33,46.0
23,229142295,26.6222871170555,-53.6590510815241,01:46:29.35,-53:39:32.6,11.17,57.2911,0.0921,17.454807732136146,11.363960653278577,3.111592,0.43239781,-467.33315,0.00177,44.117418,2,0.04533356870522205,3489.0,-0.7248,0.004368534148923501,1.5726722936124604e+31,0.027,1.8e+32,9.0,0.014,5.5e+31,6.0,0.04,3e+32,12.0
24,33525679,27.0872889599223,-27.7207792885547,01:48:20.95,-27:43:14.8,13.21,14.7381,0.0825,67.85549709864114,11.08582081792089,3.015538,0.33331085,-133.30803,0.0044,18.684828,0,0.0,3844.01,-0.46647,0.0044489720163606245,1.601629925889825e+31,,,,,,,,,
25,423389014,29.196418474534,-0.3535224541768,01:56:47.14,-00:21:12.7,11.14,14.2808,0.0561,70.02619357613327,7.770705400089934,1.755939,0.54246851,-5084.31874,0.01884,21.90453,6,0.2739159434144444,4164.5,-0.27438,0.07897140038472078,2.8429704138499485e+32,0.047,5.6e+33,9.7,0.011,1.2e+33,8.0,0.142,2.1e+34,16.0
26,250363198,29.4239898054971,-3.5649787689637,01:57:41.76,-03:33:53.9,12.01,9.6494,0.1441,103.67787266040196,7.955661612794064,1.997055,0.65812085,-5828.1487,0.03008,21.894807,4,0.18269172228830333,4049.92,-0.33589,0.07048413152481994,2.537428734893518e+32,0.109,2.6e+34,20.0,0.022,2.3e+33,10.0,0.362,9.3e+34,40.0
27,231057252,30.4125920513588,-59.8095840945875,02:01:39.02,-59:48:34.5,13.56,30.7251,0.0659,32.546975919260035,12.453713787028938,3.274702,0.21718942,-1062.85709,0.01032,44.116029000000005,0,0.0,3461.89990234375,-0.74567,0.0016322342754944408,5.876043391779987e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,268765554,31.78281247618,-18.1688412107447,02:07:07.87,-18:10:07.8,12.57,22.3261,0.0651,44.79137525390797,10.652330014856906,2.928267,0.23869947,-2020.62615,0.04083,18.666771,10,0.5357112914708173,4348.2001953125,-0.19045,0.0051433726737549566,1.8516141625517845e+31,0.181,1.6e+33,15.0,0.019,1.2e+32,6.0,0.963,7.3e+33,44.0
29,72667734,33.2838628260896,-25.4490333467831,02:13:08.13,-25:26:56.5,13.78,18.1806,0.0753,55.00553402809061,11.4979190728054,2.984077,0.71107043,-615.62141,0.01823,18.684828,1,0.0535193580588486,4131.13,-0.29153,0.00259086256570012,9.327105236520433e+30,0.752,1.9e+33,14.0,0.752,1.9e+33,14.0,0.752,1.9e+33,14.0
30,72706694,34.008308036965,-27.8215178597695,02:16:01.99,-27:49:17.5,13.16,13.7116,0.0789,72.93564881146608,10.174818746757513,2.697005,0.62355343,-148.28101,0.00493,18.683439,0,0.0,3700.60009765625,-0.56747,0.01129953331479245,4.067831993325282e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,146245416,34.2708049160449,-30.1060221053678,02:17:04.99,-30:06:21.7,12.31,42.6894,0.1784,23.425830014545568,11.933491062104672,3.150243,0.84439391,-2826.68808,0.01667,18.679272,4,0.21414110785473867,3684.5,-0.58746,0.002278177549411737,8.201439177882254e+30,0.051,2e+32,14.0,0.022,1e+32,10.0,0.082,3.1e+32,18.0
