,Unnamed: 0,Name,ra_epoch2000,dec_epoch2000,RA,DEC,Tmag,parallax,parallax_error,distL1350,MG,bp_rp,LS_Period,Log10_LS_Prob,Amplitude,Duration,flares,flarerate,teff_val,BC,L,Lergs,MeanAmp,MeanEnergy,MeanFlareDuration,MinAmp,MinEnergy,MinFlareDuration,MaxAmp,MaxEnergy,MaxFlareDuration,star_radius,star_mass,star_logg
0,0,70775324,1.2120634062735,-30.4987484597594,00:04:50.90,-30:29:55.5,13.75,4.1231,0.0493,242.59910846520685,7.84026299734213,1.774282,0.25683508,-9970.79838,0.13192,25.439535,1,0.0393088946004712,4177.7001953125,-0.26778,0.073621863063004,2.650387070268146e+32,0.081,6.600000000000001e+33,6.0,0.081,6.600000000000001e+33,6.0,0.081,6.600000000000001e+33,6.0,0.647087,0.624939,4.61198
1,1,70788006,1.740636317677,-30.1547640422935,00:06:57.75,-30:09:17.2,13.89,4.2055,0.0459,237.8355370958154,7.982878265585674,1.800989,0.94497688,-3729.7733,0.05208,25.440924000000003,0,0.0,3959.33,-0.39,0.072251802820993,2.601064901555748e+32,,,,,,,,,,0.600591,0.588571,4.65071
2,2,70788050,1.9069063518682,-29.9963066244979,00:07:37.66,-29:59:46.7,13.75,4.1359,0.0353,241.8174230143606,7.828262056532642,1.793104,0.34298296,-1882.92987,0.02546,25.438146,0,0.0,4024.0,-0.35086,0.0803598610703664,2.892954998533193e+32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638381,0.618343,4.61914
3,3,155896947,4.1571557488312,-52.6933619132631,00:16:37.72,-52:41:36.1,12.88,43.8689,0.0576,22.79526997183723,12.585229299699904,3.339705,0.17864332,-86.07743,0.00272,25.433979,1,0.039317481547028,3810.18,-0.4906,0.001143268600967,4.115766963481465e+30,0.27,2.9e+32,16.0,0.27,2.9e+32,16.0,0.27,2.9e+32,16.0,0.178912,0.148668,5.10501
4,4,469939293,4.441095483667,-52.3698091322247,00:17:45.86,-52:22:11.3,13.11,12.1575,0.0359,82.25514362624153,9.76614267487486,2.560211,0.19190406,-4257.53316,0.02965,25.438146,0,0.0,3399.5,-0.79472,0.0202969568143965,7.306904453182744e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416854,0.410371,4.81128
5,5,425937008,5.3349912386184,-60.9204836356275,00:21:20.40,-60:55:13.7,13.57,21.8495,0.2071,45.775724806897955,11.721732852046229,3.178714,0.46084045,-115.38243,0.00503,50.585991,0,0.0,3820.34,-0.48327,0.002515445168117,9.055602605221372e+30,,,,,,,,,,0.24257,0.212863,4.99649
6,6,40047077,6.4623987724056,-9.9610906882353,00:25:50.98,-09:57:39.9,11.34,30.7317,0.0683,32.540007868050225,10.115226731941965,2.703033,0.88881226,-1218.26558,0.00694,18.675105,9,0.4819250012248927,3816.800048828125,-0.48197,0.0110330938422929,3.971913783225446e+31,0.067,8.2e+32,10.2,0.01,1.4e+32,6.0,0.293,3.4e+33,18.0,0.38793,0.377792,4.83781
7,7,246855533,6.6397482128931,-24.2090981739521,00:26:33.54,-24:12:32.8,13.12,23.8011,0.0714,42.01560931578996,11.396579669402216,2.932869,0.66516118,-1957.68164,0.0177,25.439535,2,0.0786177892009425,3717.24,-0.5611,0.0036459283924672,1.3125342212882012e+31,0.06,2.5e+32,7.0,0.031,1.2999999999999999e+32,6.0,0.089,3.6e+32,8.0,0.250013,0.220875,4.98629
8,8,246891813,8.9037731438841,-24.1176501472209,00:35:36.91,-24:07:03.5,12.8,19.4,0.0655,51.54754455597299,10.623980086547288,2.765039,0.71355017,-4027.15084,0.03499,18.680661,6,0.3211877780984302,4065.55,-0.32705,0.005987257897954,2.1554128432634757e+31,0.112,9.399999999999999e+32,10.0,0.033,1.8999999999999998e+32,6.0,0.36,3.2e+33,16.0,0.325296,0.305662,4.89875
9,9,251879914,9.934736992587,-31.6659629009924,00:39:44.34,-31:39:57.5,12.88,13.5681,0.0516,73.7043608283301,9.76980307850312,2.506739,0.88401847,-1581.986,0.0189,25.433979,1,0.039317481547028,3798.199951171875,-0.4957,0.0153588524877398,5.529186895586338e+31,0.095,1.4e+33,6.0,0.095,1.4e+33,6.0,0.095,1.4e+33,6.0,0.411,0.403843,4.8166
